Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	dispersal_rate	extirpation_rate	p_allopatry	p_sympatry	r_morph
196	-145.2743	-148.7334	3.459107	0.0192546	0.980745	0.004815719	0.0119552	0.9807454	0.01925459	0.3280939
197	-143.2902	-146.9145	3.624354	0.0192546	0.980745	0.006553314	0.001943979	0.9807454	0.01925459	0.3198428
198	-144.6837	-147.4424	2.758718	0.0192546	0.980745	0.00686721	0.008821998	0.9807454	0.01925459	0.3992145
199	-144.0534	-146.8659	2.812472	0.0192546	0.980745	0.00686721	0.003446595	0.9807454	0.01925459	0.3992145
200	-144.8732	-147.4602	2.587019	0.10182	0.89818	0.007356741	0.003446595	0.8981804	0.1018196	0.4212703
201	-146.0667	-151.2117	5.144908	0.0862631	0.913737	0.007240377	0.01555294	0.9137369	0.08626312	0.1534914
202	-146.6264	-152.1132	5.486888	0.00290502	0.997095	0.005542132	0.01141862	0.997095	0.002905022	0.1251259
203	-145.05	-148.4756	3.425616	0.00290502	0.997095	0.005119717	0.01141862	0.997095	0.002905022	0.3316756
204	-146.9006	-147.9937	1.093015	0.0529828	0.947017	0.005395651	0.01141862	0.9470172	0.05298279	0.5646598
205	-143.4996	-147.2455	3.745974	0.0529828	0.947017	0.007318915	0.0019488	0.9470172	0.05298279	0.3069104
206	-144.7766	-148.4074	3.630734	0.0529828	0.947017	0.007318915	0.01347276	0.9470172	0.05298279	0.3069104
207	-146.7178	-150.309	3.59117	0.219761	0.780239	0.008215431	0.01653262	0.7802386	0.2197614	0.3069104
208	-145.367	-150.3056	4.938578	0.135709	0.864291	0.005842096	0.01123711	0.8642915	0.1357085	0.1798385
209	-143.3756	-147.7676	4.392056	0.0104566	0.989543	0.005842096	0.004168845	0.9895434	0.01045657	0.241559
210	-144.1171	-149.1954	5.078334	0.0104566	0.989543	0.005548498	0.004717723	0.9895434	0.01045657	0.1726759
211	-144.7481	-148.049	3.300982	0.0104566	0.989543	0.008402842	0.01052201	0.9895434	0.01045657	0.3417524
212	-145.5146	-148.4952	2.980636	0.0104566	0.989543	0.01004831	0.007237155	0.9895434	0.01045657	0.3754265
213	-144.0228	-148.1856	4.162734	0.0446166	0.955383	0.008021801	0.007237155	0.9553834	0.04461656	0.2592431
214	-143.8175	-147.0581	3.240659	0.0180733	0.981927	0.008021801	0.001653101	0.9819267	0.01807327	0.3570347
215	-144.0827	-148.857	4.774315	0.0180733	0.981927	0.004359775	0.001653101	0.9819267	0.01807327	0.2073311
216	-143.2574	-147.3966	4.139272	0.0180733	0.981927	0.006439941	0.003721048	0.9819267	0.01807327	0.2666874
217	-145.3144	-149.803	4.488606	0.077959	0.922041	0.006439941	0.01768377	0.922041	0.07795902	0.2177912
218	-144.6997	-147.248	2.548365	0.077959	0.922041	0.006953056	0.004235687	0.922041	0.07795902	0.4247503
219	-143.7787	-147.7532	3.974478	0.077959	0.922041	0.005619425	0.004235687	0.922041	0.07795902	0.2834726
220	-145.1487	-146.9107	1.762022	0.077959	0.922041	0.005258777	0.0001375034	0.922041	0.07795902	0.5091771
221	-152.7367	-147.4534	-5.283305	0.167921	0.832079	0.005258777	0.0005325733	0.8320791	0.1679209	1.213315
222	-146.1955	-147.3839	1.188444	0.139162	0.860838	0.005255217	0.0006617957	0.860838	0.139162	0.5660141
223	-143.5522	-148.2627	4.71053	0.0413931	0.958607	0.005255217	0.002584793	0.9586069	0.04139313	0.2118825
224	-145.3958	-148.6039	3.208134	0.116652	0.883348	0.005493771	0.01155514	0.8833479	0.1166521	0.3529132
225	-145.2424	-150.1013	4.858962	0.116652	0.883348	0.00764238	0.01155514	0.8833479	0.1166521	0.1856818
226	-143.0223	-146.9584	3.936095	0.0184481	0.981552	0.006899483	0.0007221727	0.9815519	0.01844808	0.2895443
227	-143.8742	-147.92	4.045819	0.0184481	0.981552	0.006899483	0.008786036	0.9815519	0.01844808	0.2705081
